Wall time,Step,Value
1543523952.925167,2565,200.0
1543523952.997111,2566,200.0
1543523953.2505221,2570,81.0
1543523953.446296,2573,200.0
1543523953.667776,2576,200.0
1543523953.8123899,2578,200.0
1543523953.884064,2579,200.0
1543523954.1408231,2583,20.0
1543523954.438127,2587,200.0
1543523954.6783931,2590,200.0
1543523954.751573,2591,200.0
1543523954.8342779,2592,200.0
1543523954.908936,2593,200.0
1543523955.127103,2596,200.0
1543523955.430249,2600,200.0
1543523955.880363,2606,200.0
1543523955.954413,2607,200.0
1543523956.1714408,2610,200.0
1543523956.5384672,2615,200.0
1543523956.7632499,2618,190.0
1543523956.836829,2619,200.0
1543523956.990871,2621,200.0
1543523957.150997,2623,200.0
1543523957.295406,2625,197.0
1543523957.383614,2626,200.0
1543523957.673435,2629,200.0
1543523957.759778,2630,194.0
1543523957.907134,2632,200.0
1543523958.133037,2635,200.0
1543523958.2073228,2636,200.0
1543523958.351928,2638,200.0
1543523958.875554,2644,200.0
1543523959.0969942,2647,200.0
1543523959.309728,2650,200.0
1543523959.385494,2651,200.0
1543523959.67731,2655,200.0
1543523960.1093,2661,200.0
1543523961.070055,2674,200.0
1543523961.341132,2678,41.0
1543523961.497924,2680,200.0
1543523961.848091,2685,200.0
1543523962.066249,2688,200.0
1543523962.206601,2690,189.0
1543523962.4787369,2694,200.0
1543523962.8391109,2699,200.0
1543523963.132318,2703,200.0
1543523963.432458,2707,200.0
1543523963.667119,2710,200.0
1543523964.311417,2719,200.0
1543523964.738313,2725,200.0
1543523965.463308,2735,200.0
1543523965.536127,2736,200.0
1543523965.61058,2737,200.0
1543523965.820632,2740,135.0
1543523965.905886,2741,200.0
1543523966.266473,2746,200.0
1543523966.4178329,2748,200.0
1543523966.715318,2752,200.0
1543523966.7771132,2753,164.0
1543523966.8650692,2754,200.0
1543523966.942802,2755,200.0
1543523967.019489,2756,200.0
1543523967.092746,2757,200.0
1543523967.1678998,2758,200.0
1543523967.7823648,2766,200.0
1543523968.451997,2775,200.0
1543523969.634115,2789,200.0
1543523969.7160268,2790,164.0
1543523969.814208,2791,200.0
1543523970.342742,2798,200.0
1543523970.699879,2803,200.0
1543523970.9323452,2806,200.0
1543523971.083704,2808,200.0
1543523971.157912,2809,200.0
1543523971.2314901,2810,200.0
1543523971.3044019,2811,200.0
1543523971.592772,2815,200.0
1543523972.226646,2823,200.0
1543523972.2999911,2824,200.0
1543523972.527929,2827,200.0
1543523972.6784692,2829,200.0
1543523972.7495449,2830,194.0
1543523972.89742,2832,200.0
1543523973.764878,2844,200.0
1543523973.844623,2846,150.0
1543523974.064718,2849,200.0
1543523974.2113652,2851,200.0
1543523974.677242,2856,200.0
1543523974.978325,2859,200.0
1543523975.2520099,2862,200.0
1543523975.949363,2871,196.0
1543523976.0219982,2872,200.0
1543523976.479239,2878,200.0
1543523976.626067,2880,200.0
1543523976.699025,2881,200.0
1543523977.164751,2887,200.0
1543523977.384462,2890,200.0
1543523977.459145,2891,200.0
1543523977.8266711,2896,200.0
1543523977.972064,2898,200.0
1543523978.11895,2900,200.0
1543523978.339318,2903,200.0
1543523978.428757,2904,200.0
1543523978.499619,2905,200.0
1543523979.13765,2912,200.0
1543523979.5160131,2917,200.0
1543523979.634885,2919,194.0
1543523979.751313,2920,200.0
1543523979.8257082,2921,200.0
1543523980.125359,2925,200.0
1543523980.6343172,2932,200.0
1543523980.927397,2936,200.0
1543523981.152948,2939,200.0
1543523981.225127,2940,200.0
1543523981.381369,2942,200.0
1543523981.857107,2949,165.0
1543523981.928711,2950,200.0
1543523982.2954519,2955,200.0
1543523983.161855,2967,200.0
1543523983.5265212,2972,200.0
1543523983.6358762,2974,70.0
1543523983.707249,2975,200.0
1543523983.9272,2978,200.0
1543523983.998275,2979,200.0
1543523984.635988,2988,64.0
1543523985.086505,2994,200.0
